lineage,gene,correlation,p_value,pct_cells
Erythroid early,CNRIP1,0.6648457397670157,0.0,0.03502472027062191
Erythroid early,EPB42,0.6645537073092087,0.0,0.024798334634400208
Erythroid early,HBA1,0.6609947177302977,0.0,0.15209471766848817
Erythroid early,HMBS,0.6598567803630709,0.0,0.06164454852979443
Erythroid early,ANK1,0.6514357058215101,0.0,0.029976580796252927
Erythroid early,GFI1B,0.6421476537303337,0.0,0.03278688524590164
Erythroid early,NFIA,0.6289821571207784,0.0,0.04499089253187614
Erythroid early,BLVRB,0.6255706361037369,0.0,0.1498048399687744
Erythroid early,FECH,0.6211904466416989,0.0,0.05201665365599792
Erythroid early,MBOAT2,0.6181690099091542,0.0,0.039552432995055946
Erythroid early,SELENBP1,0.6163648061748633,0.0,0.026099401509237573
Erythroid early,RFESD,0.6144364213098152,0.0,0.03429612282071298
Erythroid early,MINPP1,0.6131424647333,0.0,0.04207650273224044
Erythroid early,CTSE,0.6101868858469915,0.0,0.01883944834764507
Erythroid early,ADD2,0.6101684822092173,0.0,0.030523028883684623
Erythroid early,HBA2,0.6093863056669615,0.0,0.13421805880822274
Erythroid early,GYPB,0.6071798774756478,0.0,0.024824355971896955
Erythroid early,SYNGR1,0.6024201910289445,0.0,0.09182930002602134
Erythroid early,PCLAF,0.5944285795410034,0.0,0.09193338537600833
Erythroid early,FHL2,0.5923225136533917,0.0,0.03083528493364559
Erythroid early,SMIM10,0.591303166802367,0.0,0.03309914129586261
Erythroid early,UROD,0.5911519166419642,0.0,0.10080666146239917
Erythroid early,SLC25A21,0.5885824378068916,0.0,0.020999219359875098
Erythroid early,SNCA,0.5850961011309822,0.0,0.0585480093676815
Erythroid early,UBAC1,0.5824772402239509,0.0,0.0638303408795212
Erythroid early,TUBG1,0.576448404823224,0.0,0.04236273744470466
Erythroid early,CCNB2,0.574796552048644,0.0,0.044938849856882644
Erythroid early,TMEM14C,0.5740592860928632,0.0,0.15003903200624513
Erythroid early,LXN,0.573362678025449,0.0,0.039162112932604735
B naive,IGHM,0.8608221863239889,0.0,0.1791569086651054
B naive,CD79A,0.851330048159896,0.0,0.16078584439240176
B naive,MS4A1,0.707870661982176,0.0,0.1009888108248764
